Organization Name,Organization Name URL,Industries,Headquarters Location,Estimated Revenue Range,Operating Status,Company Type,Website,Full Description,Headquarters Regions,Founded Date,Founded Date Precision,Contact Email,Phone Number,LinkedIn,Facebook,Twitter,SimilarWeb - Monthly Visits,IPO Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Employees,Industry Groups,Stock Symbol,Stock Symbol URL
"ARC Document Solutions, Inc.",https://www.crunchbase.com/organization/arc-document-solutions-inc,Professional Services,"Walnut Creek, California, United States",,Active,For Profit,http://www.e-arc.com/,"ARC Document Solutions, Inc. (formerly American Reprographics Company) headquartered in Walnut Creek, CA, is a publicly traded company (NYSE: ARC) that provides technology and document-related services to businesses of all types, with an emphasis on the non-residential segment of the architecture, engineering and construction (""AEC"") industry.","San Francisco Bay Area, West Coast, Western US",1988-01-01,year,,925-949-5100,http://www.linkedin.com/company/arc-document-solutions,http://www.facebook.com/pages/ARC-Document-Solutions/174818889314709,http://twitter.com/ARCDocSolutions,"41,337",Public,,,,5001-10000,,ARC,https://www.crunchbase.com/ipo/arc-document-solutions-inc-ipo--2be92ef6
Advisor Software,https://www.crunchbase.com/organization/advisor-software,Software,"Walnut Creek, California, United States",$10M to $50M,Active,For Profit,http://advisorsoftware.com,"Advisor Software, Inc. provides wealth management solutions for the advisor market. The company has created an enterprise rebalancing solution and a goal-directed financial planning platform that combines institutional-caliber analytics and a balance sheet approach to financial planning.  Advisor Software's applications are designed for a wide range of asset management firms, broker-dealers, banks, insurance companies, online brokerages, and other financial institutions, enabling these institutions and their advisors to offer a comprehensive goal-based investment program for the mass-affluent investor consisting of : - Assessment of a household through a holistic balance sheet approach  - Goal-based asset allocation and advice based on the financial service providers capital market assumptions and investment universe  - A discretionary managed account offering for delegators  - An advisor workflow to develop, communicate, deliver and implement goal-based advice and account management services  - An innovative direct investor destination, called GoalGami, that allows the advisor's client or prospect to engage in the advice process by creating their own goal plan","San Francisco Bay Area, West Coast, Western US",1995-01-01,year,asi_press@advisorsoftware.com,(925)299-7782,http://www.linkedin.com/company/27780,,http://twitter.com/AdvisorSoftware,"4,427",Private,,,,51-100,Software,,
Neolth,https://www.crunchbase.com/organization/neolth,"Fitness, Health Care, Information Technology","Walnut Creek, California, United States",,Active,For Profit,https://www.neolth.com,Neolth is a digital platform that health care professionals can prescribe to their patients for support with a chronic or mental health condition. They assist patients in building a behavioral stress management routine.,"San Francisco Bay Area, West Coast, Western US",2018-01-01,year,hello@neolth.com,,https://www.linkedin.com/company/neolth/,https://www.facebook.com/pg/neolth,https://twitter.com/neolth,"1,121",Private,,,,1-10,"Health Care, Information Technology, Sports",,
Loyale Healthcare,https://www.crunchbase.com/organization/loyale-healthcare,"Health Care, Hospital","Lafayette, California, United States",,Active,,https://www.loyale.us/,"Loyale Healthcare, launched in 2016, is the culmination of their experiences with consumers, patients and providers. Their suite of solutions powers more successful financial relationships between providers and their patients. The result? Patients pay more, pay sooner and have a better overall care experience.","San Francisco Bay Area, West Coast, Western US",2016-01-01,year,info@loyale.us,406-868-9179,https://www.linkedin.com/company/loyale/,,https://twitter.com/loyalepfm,"34,507",Private,,,,11-50,Health Care,,
Bureau Works,https://www.crunchbase.com/organization/bureau,"Data Integration, Project Management, Translation Service","Lafayette, California, United States",$1M to $10M,Active,For Profit,https://bureauworks.com,,"San Francisco Bay Area, West Coast, Western US",2005-01-01,year,hello@bureau.works,+1 305 967-6702,https://www.linkedin.com/company/893470/,,,"4,751",Private,,,,11-50,"Data and Analytics, Information Technology, Professional Services, Software",,
YLighting,https://www.crunchbase.com/organization/ylighting,"Lighting, Retail","Walnut Creek, California, United States",Less than $1M,Active,,http://www.ylighting.com,"YLighting was founded in 2001 with the idea that modern lighting is functional art but buying it shouldn't be a project in itself.  YLighting travels the world to find exciting new designs. YLighting has a team of knowledgeable lighting veterans that will not only help you select a lighting solution but also design sophisticated systems.  YLighting is one of the largest retailers for brands such as Artemide, Flos, Modern Fan, Fontana Arte and Louis Poulsen. YLighting products are regularly featured in national publications such as Dwell, InStyle, Domino, Metropolitan Home, the Wall Street Journal and The New York Times.","San Francisco Bay Area, West Coast, Western US",2001-01-01,year,sales@yliving.com,+1 (866) 428-9289,,http://www.facebook.com/ylighting,http://twitter.com/YLighting,"307,364",Private,,,,,"Commerce and Shopping, Hardware",,
Valent USA Corporation,https://www.crunchbase.com/organization/valent-usa-corporation,"Agriculture, Chemical","Walnut Creek, California, United States",,Active,For Profit,https://www.valent.com,"Valent U.S.A. Corporation is a leading crop protection firm serving the agricultural and non-crop products markets in North America. Valent products help growers produce safe and abundant food and fiber crops, and horticultural professionals improve the quality of life for their customers. The corporate motto, Products That Work, From People Who Care®, describes the company's business philosophy. Valent seeks out and provides customers with innovative and effective solutions to their production challenges. ""Valent is uniquely positioned in our industry, offering innovative biorational and traditional solutions that deliver proven results. This variety of tools helps customers grow more profitable crops and maintain healthy green spaces, forests and waterways."" Matt Plitt Executive Vice President and Chief Operating Officer, Valent U.S.A. Corporation Valent's portfolio includes products for conventional and organic production. Valent products: Protect plants and people from pests Optimize plant yield, appearance and quality Provide essential pest resistance management tools Valent's strength as an organization is the understanding of the entire product cycle, so our products can be presented as part of an integrated solution.","San Francisco Bay Area, West Coast, Western US",1988-01-01,year,,(925)256-2700,https://www.linkedin.com/company/valent-usa,,,"9,752",Private,,,,501-1000,"Agriculture and Farming, Science and Engineering",,
RentPayment,https://www.crunchbase.com/organization/rentpayment,"Finance, Financial Services, Payments","Walnut Creek, California, United States",$1M to $10M,Active,For Profit,http://www.rentpayment.com/index.html,"RentPayment is the largest electronic payments processor in the multifamily industry. Through the vision of founders Tom Villante, Chairman of RentPayment, and Matt Golis, CEO, RentPayment was born. The idea was to create a payment processing company that for the first time would allow property managers to accept credit cards and e-Checks for rent payments and move-in expenses, making it easier for properties to close leases and collect rent on-time. In 2005, RentPayment acquired eRentPayer, an electronic rent payment company based in Salt Lake City, Utah. Again in 2011, RentPayment also acquired PropertyBridge, a formidable electronic payment competitor based in Oakland, CA.","San Francisco Bay Area, West Coast, Western US",1999-01-01,year,marketing@rentpayment.com,+118662895977,https://www.linkedin.com/company/rentpayment,https://www.facebook.com/rentpayment/,https://twitter.com/RentPayment,"635,054",Private,,,,51-100,"Financial Services, Payments",,
Cue,https://www.crunchbase.com/organization/cue-f789,"Education, Information Technology, Training","Walnut Creek, California, United States",,Active,,https://cue.org/,"Cue is a non-profit educational community that inspires innovative learners by fostering community, personalizing learning, infusing technology, developing leadership, and advocating educational opportunities for all.","San Francisco Bay Area, West Coast, Western US",1978-01-01,year,abailey@cue.org,(925) 478-3460,https://www.linkedin.com/company/cue-org/,https://www.facebook.com/cueinc/,https://twitter.com/cueinc?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"8,009",Private,,,,11-50,"Education, Information Technology",,
Newport Group,https://www.crunchbase.com/organization/newport-group,"Consulting, Financial Services, Insurance","Walnut Creek, California, United States",$50M to $100M,Active,,https://www.newportgroup.com/,"Newport Group helps companies offer their associates a more secure financial future through retirement plans, insurance and consulting services. Newport Group offers comprehensive plan solutions and consulting expertise to plan sponsors and the advisors who serve them. As a provider and partner, Newport Group is independent, experienced and responsive.","San Francisco Bay Area, West Coast, Western US",1985-01-01,year,,+1 844-749-9981,https://www.linkedin.com/company/newport-group/,https://www.facebook.com/Newport-Group-97637591433/,https://twitter.com/NewportGroupInc,"294,550",Private,,,,501-1000,Financial Services,,
"Derivative Path, Inc.",https://www.crunchbase.com/organization/derivative-path-inc,"Finance, Financial Exchanges, Financial Services, FinTech, Trading Platform","Walnut Creek, California, United States",$10M to $50M,Active,,http://www.derivativepath.com,"Who We Are: Derivative Path, Inc. (“DPI”) is headquartered in the San Francisco Bay Area, with additional offices in New York City and Chicago. We provide a technology-led solution to assist financial institutions, commercial end users, and buy-side clients in executing and managing their over-the-counter interest rate and FX derivative transactions.  The team is comprised of derivative industry veterans who have worked for some of the world’s largest capital market firms. Experience: Our team is led by industry veterans who have worked in the derivatives/capital markets business for some of the world’s largest banks. Expertise in Sales, Structuring and Execution: The Derivative Path sales, hedge accounting, and compliance team has led derivative sales efforts for several major banks. They have assisted numerous financial institutions in creating derivatives hedging business opportunities, setting up back-to-back swap programs and working with respective capital markets and commercial lending groups. Technology: Our state-of-the-art technology platform, DerivativeEDGE, has been designed to be a complete end-to-end solution for interest rate and FX derivative trading, servicing, and hedge accounting. With DerivativeEDGE, users have front-, mid-, and back-office functionality in one platform, eliminating the inefficiencies of working with disparate systems to manage various aspects of the business. The system also includes a fully automated hedge accounting platform which is fully compliant with the new hedge accounting rules of ASU 2017-12. The platform comes complete with real-time market data and automated swap data reporting, and cleared trade affirmation. The system is designed within a framework that also aids users in meeting their Dodd-Frank requirements related to the execution of transactions with commercial clients and dealer counterparties, as well as ongoing data and document retention requirements. Derivative Path is a Member of the National Futures Association (NFA) and is registered as an Introducing Broker (IB).","San Francisco Bay Area, West Coast, Western US",2013-01-01,year,pbhatia@derivativepath.com,415-992-8200,http://www.linkedin.com/company/derivative-path-inc,,http://twitter.com/derivativepath,500,Private,,,,11-50,"Financial Services, Lending and Investments",,
Magnet Technologies,https://www.crunchbase.com/organization/magnet-technologies,"Developer APIs, Developer Tools, Web Development","Walnut Creek, California, United States",Less than $1M,Closed,For Profit,http://locationmagnet.com,"Magnet helps brands engage with users at locations to deliver personalized, on-demand services. Their solutions use location-aware technologies, such as beacons, and the unique identity in your phone to help brands deliver personalized information and services to their customers at the exact right moment for them to take action. Customers get VIP experiences, while brands can reduce wait times, increase revenue and get a better understanding of their customers with detailed analytics.","San Francisco Bay Area, West Coast, Western US",2015-05-01,day,,,https://www.linkedin.com/company/magnet-technologies-inc-,,https://twitter.com/locationmagnet,,Private,150000,USD,150000,1-10,Software,,
Appery,https://www.crunchbase.com/organization/appery,"Android, Information Technology, iOS, Mobile, Mobile Apps","Walnut Creek, California, United States",$1M to $10M,Active,For Profit,http://appery.io,"Appery promotes, develops, and supports the enterprise mobile app platform, Appery.io. This cloud-based platform uniquely combines a building environment that supports both visual and coding-based forms of development and a variety of back-end services that come with the platform. We also provide services to help enterprises use the Appery.io platform for the development of mobile apps and make available more options for deployment to enterprises.","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,support@appery.io,(925) 602-5570,https://www.linkedin.com/company/appery-io/,https://www.facebook.com/apperyio,https://www.twitter.com/apperyio,"86,806",Private,,,,101-250,"Apps, Information Technology, Mobile, Platforms, Software",,
Seacube Container Leasing,https://www.crunchbase.com/organization/seacube-container-leasing,"Shipping, Transportation","Walnut Creek, California, United States",,Active,,http://www.seacubecontainers.com/,"SeaCube Container Leasing Ltd is one of the largest operating lessors of containers in the world. We acquire and lease containers and gensets, which are essential intermodal equipment used in global containerized cargo trade.","San Francisco Bay Area, West Coast, Western US",2010-01-01,year,hho@seacubecontainers.com,201-391-0800,http://www.linkedin.com/company/seacube-trading,,,717,Delisted,,,,51-100,Transportation,BOX,https://www.crunchbase.com/ipo/seacube-container-leasing-ipo--b66bf24b
Clockwork Recruiting,https://www.crunchbase.com/organization/clockwork-ordina,"Online Portals, Recruiting, Web Development","Orinda, California, United States",Less than $1M,Active,For Profit,http://www.clockworkrecruiting.com,"Clockwork’s online workspace brings much needed efficiency and clarity to executive search projects. Unlike an ATS or CRM, Clockwork manages the entire search process, from pitch to placement. Recruiters post their candidates and research and give their search clients access to what they want them to see. Their clients love Clockwork’s transparency, real-time access to information, and clear feedback channels. Recruiters love it because it saves them time and wins them more work.","San Francisco Bay Area, West Coast, Western US",2010-01-01,year,sales@clockworkrecruiting.com,(510) 629-4668,https://www.linkedin.com/company/clockwork-recruiting/,,,"21,085",Private,,,,11-50,"Internet Services, Professional Services, Software",,
HSTpathways,https://www.crunchbase.com/organization/hstpathways,"Health Care, Information Technology, Software","Lafayette, California, United States",Less than $1M,Active,For Profit,https://www.hstpathways.com,"HSTpathways will raise the level of excellence for providing Information Technology and IT Services to Outpatient Healthcare Providers. In every industry, a clear market leader emerges and delivers exceptional value and service to their customers. HSTpathways demonstrates its leadership with superior solutions for both the enterprise multi-facility customer as well as the freestanding surgical centers. Together, with customers as partners, HSTpathways will continually improve upon its Information Technology to reflect best practices. HSTpathways will become an important Strategic Business Asset and indispensable to senior and executive management. HSTpathways' leadership, management, and staff will tirelessly pursue quality improvement processes. They continuously strive to develop reliable software and provide excellent customer service in a way that is consistent, repeatable, and cost effective for their customers. They are committed to listening to their customers and to understanding how the industry is evolving. They will incorporate these new requirements and changes as part of regular and prompt software updates. As a customer, you will experience this commitment by their actions, their products, and by the attitudes of everyone at HSTpathways.","San Francisco Bay Area, West Coast, Western US",2005-01-01,year,HSTSupport@HSTpathways.com,800.290.4078,https://www.linkedin.com/company/healthcare-systems-and-technologies,https://www.facebook.com/hstpathways.ASC,https://twitter.com/hstpathways,"1,075",Private,,,,,"Health Care, Information Technology, Software",,
Cypress HCM,https://www.crunchbase.com/organization/cypress-hcm,"Human Resources, Information Technology, Staffing Agency","Walnut Creek, California, United States",$10M to $50M,Active,,http://cypresshcm.com,,"San Francisco Bay Area, West Coast, Western US",2005-01-01,year,,(310) 982-7970,https://www.linkedin.com/company/112948,https://www.facebook.com/cypresshcm,https://www.twitter.com/cypresshcm,"4,563",Private,,,,101-250,"Administrative Services, Information Technology",,
Multitude,https://www.crunchbase.com/organization/multitude-inc,"Analytics, Big Data, Government, Information Technology, Software","Lafayette, California, United States",Less than $1M,Active,,http://www.gomultitude.com/,,"San Francisco Bay Area, West Coast, Western US",,,,,https://www.linkedin.com/company/multitude-inc-,,https://twitter.com/gomultitude,,Private,,,,1-10,"Data and Analytics, Government and Military, Information Technology, Software",,
BreathResearch,https://www.crunchbase.com/organization/breathresearch,"Product Research, Product Search, Social Media","Lafayette, California, United States",$1M to $10M,Active,For Profit,http://www.breathresearch.com/,"BreathResearch converts the air waves from your breathing into sound waves producing new respiratory analytics to improve health, fitness and performance. They're currently building new wearable technology to make cardiorespiratory assessments simple, affordable and accessible to athletes of all abilities and patients at risk for heart or lung disease.","San Francisco Bay Area, West Coast, Western US",2010-01-01,year,,,,https://www.facebook.com/breathresearch,https://www.twitter.com/breathresearch,260,Private,,,,1-10,"Data and Analytics, Design, Internet Services, Media and Entertainment",,
"UVFAB Systems, Inc.",https://www.crunchbase.com/organization/uvotech-systems-inc,"Aerospace, Computer, Electronics, Manufacturing, Medical","Walnut Creek, California, United States",Less than $1M,Active,For Profit,https://www.uvfab.com,"UVFAB Systems manufactures, distributes and provides solutions in the Semiconductor, Electronics, BioMedical, Aerospace, Medical Devices and Photovoltaic industries. Our line of products is diversified and comprehensive; suitable for research and development labs, University and Government organizations, production facilities, foundries as well as fabless companies.","San Francisco Bay Area, West Coast, Western US",2011-11-01,month,info@uvfab.com,(925) 322-1560,,,http://twitter.com/uvfab,512,Private,,,,1-10,"Consumer Electronics, Hardware, Health Care, Manufacturing, Science and Engineering",,
Bay Alarm,https://www.crunchbase.com/organization/bay-alarm,"Communities, Information Technology, Security","Concord, California, United States",$100M to $500M,Active,,https://www.bayalarm.com/,"Bay Alarm is a family-run, locally-operated company with security. They live and work in the communities they protect. That makes them different from many security companies. They know the needs of neighborhoods like yours. They’re dedicated to working with community organizations that keep you informed and protected. And they guarantee that their products, workmanship and services always exceed your expectations all of which gives you the peace of mind you want and deserve.","San Francisco Bay Area, West Coast, Western US",1946-01-01,year,marketing@bayalarm.com,+1 800-610-1000,https://www.linkedin.com/company/bay-alarm-company/,https://www.facebook.com/BayAlarm/,https://twitter.com/bayalarmcompany,"28,669",Private,,,,501-1000,"Community and Lifestyle, Information Technology, Privacy and Security",,
"EcoloBlue, Inc",https://www.crunchbase.com/organization/ecoloblue-inc,"Energy, Renewable Energy, Water","Martinez, California, United States",$10M to $50M,Active,For Profit,http://www.ecoloblue.com,"Since March 2007, EcoloBlue has been sustaining and supporting Water issues experienced worldwide, by suggesting EcoloBlue products, and accordingly providing environmentally conscious Water options to single family homes and offices, any business industry using large volume of potable Water, and in an emergency situation as a complete disaster relief solution. Co-Owners, Wayne Ferreira and Henri-James Tieleman, have focused towards generating Water from the air using efficient mechanical processes. They can successfully declare today, to be the world leader in generating Water from the air in large industrial volume of potable Water, using the least energy possible in generating Water, and most importantly, generating Water under 15C/59F and with less than 30% relative humidity, protected by an awarded US Patent 8,844,299. Since its inception, the company has grown its product line from a single home/office unit, to including today a full industrial line of Atmospheric Water Generators (AWGs), a fully contained emergency preparedness container, and an EcoloBlue Water Station. EcoloBlue’s atmospheric Water generators are state of the art AWGs, with a major emphasis on Water generation, energy reductions, and ease of use. The EcoloBlue range varies from up to 30L/8Gal a day for the home/office market, up to millions of liters/day in customizable Water Stations. There are worldwide regions affected by current Water crises. These range from Water contamination, lack of water due to main breaks, to complete Water shortages, which can all be resolved or sustained with EcoloBlue’s solutions. EcoloBlue, Inc. has distribution in 17 countries, and a customer base that spans worldwide. EcoloBlue is the leader in the home/office market with over 10,000 customers in the US alone, and in the production of industrial volume of potable Water in specific countries.","San Francisco Bay Area, West Coast, Western US",2007-03-01,month,info@ecoloblue.com,(800)691-6043,,https://www.facebook.com/ecoloblueinc,https://www.twitter.com/ecoloblue,"1,157",Private,,,,11-50,"Energy, Natural Resources, Sustainability",,
Amerit Fleet Solutions,https://www.crunchbase.com/organization/amerit-fleet-solutions,"Automotive, CRM, Information Technology","Walnut Creek, California, United States",$100M to $500M,Active,,http://ameritfleetsolutions.com,"Amerit Fleet Solutions is the largest team of dedicated fleet maintenance experts in the nation. A unique company in the industry, they are focused on creating individual solutions that improve problem areas and bring standardization, quality and savings to fleets anywhere in the USA. ","San Francisco Bay Area, West Coast, Western US",2010-01-12,day,,877.512.6374,https://www.linkedin.com/company/amerit-fleet-solutions,https://www.facebook.com/ameritfleet,https://www.twitter.com/ameritfleet,"4,002",Private,,,,1001-5000,"Information Technology, Sales and Marketing, Software, Transportation",,
Hawk Ridge Systems,https://www.crunchbase.com/organization/hawk-ridge-systems,"Industrial Engineering, Manufacturing","Orinda, California, United States",$10M to $50M,Active,For Profit,http://www.hawkridgesys.com/,,"San Francisco Bay Area, West Coast, Western US",1996-01-01,year,info@hawkridgesys.com,(877)266-4469,https://www.linkedin.com/company/hawk-ridge-systems,https://www.facebook.com/hawkridgesystems,https://www.twitter.com/hawk_ridge_sys,"65,098",Private,,,,51-100,"Manufacturing, Science and Engineering",,
Contractors.com,https://www.crunchbase.com/organization/contractors-com,"Construction, Home Improvement, Professional Services","Walnut Creek, California, United States",$1M to $10M,Active,For Profit,http://www.contractors.com/,"Contractors.com believes that craftsmanship is an art of love, and that every property owner deserves a contractor who will take pride in the work as if it was their own property. Contractors.com matches homeowners and top contractors with superior efficiency, speed and a touch of love. We help homeowners share photos and videos of their home improvement projects, browse profiles of contractors who’ve responded to their posts and communicate seamlessly and securely. Our aim is to have a paramount impact on the entire process of how contractors manage their businesses, and homeowners their projects. Our beta launch is just the start.","San Francisco Bay Area, West Coast, Western US",2016-01-01,year,friends@contractors.com,,,https://www.facebook.com/contractors.com,https://www.twitter.com/contractorscom,"209,917",Private,,,,51-100,Real Estate,,
Meet My Dog,https://www.crunchbase.com/organization/meet-my-dog,"Mobile Apps, Pet, Private Social Networking, Social","Concord, California, United States",,Active,For Profit,http://meetmydogapp.com/,"Meet My Dog is a free, private social network for its users and their dogs. It enables dog owners to discover, connect, and share with other dog owners in their community. Its users also have the ability to find out who is at the dog park, share photos of their pups, chat in real time to find out where others are located in the park, and set up puppy playdates. It was launched in 2013.","San Francisco Bay Area, West Coast, Western US",2013-08-01,day,,,,https://www.facebook.com/meetmydog/,,417,Private,,,,,"Apps, Community and Lifestyle, Mobile, Software",,
Entisys360 (formerly Entisys Solutions and Agile360),https://www.crunchbase.com/organization/entisys360-formerly-entisys-solutions-and-agile360,"Consulting, Information Technology, Staffing Agency","Concord, California, United States",$100M to $500M,Active,,http://entisys360.com,"Entisys360 is an award-winning IT consultancy specializing in the deployment and delivery of advanced IT infrastructure, virtualization and cloud solutions. Through state of the art methodologies and broad solutions and services offerings, Entisys360 expertly solves its clients most pressing IT and business challenges. At Entisys360, they value both their employees and their clients alike. They built their company culture around the importance of both, because it’s enabled  to hire and keep the highest caliber of employees that our clients expect.","San Francisco Bay Area, West Coast, Western US",1988-08-01,month,info@entisys360.com,(925) 688-8989,https://www.linkedin.com/company/entisys,https://www.facebook.com/entisys360,https://www.twitter.com/entisys360,802,Private,,,,101-250,"Administrative Services, Information Technology",,
Round Table Pizza,https://www.crunchbase.com/organization/round-table-pizza-2,"Restaurants, Snack Food","Concord, California, United States",,Active,For Profit,http://www.RoundTablePizza.com,"At Round Table, we’ve enjoyed a heritage of creating high quality, innovative pizzas for over 57 years. From our founder Bill Larson’s first little Round Table Pizza Parlor in Menlo Park, California in 1959 to 450 thriving restaurants today, Round Table has always stood for freshness, innovation and craveable flavors in everything we serve. Most pizza chains use primarily frozen dough, and often skimp on both the quality and quantity of their toppings and ingredients to cut costs. Not at Round Table. We roll our dough fresh, from scratch, every day, in every restaurant. That dough is made from wheat grown for us on family farms in Idaho. Our cheddar cheese is aged to perfection, and combined with whole milk mozzarella and provolone in our famous three–cheese blend. We use only premium meats for our toppings, which we spread lavishly on every pizza, all the way to the edge of the crust. And our vegetable toppings are freshly cut at each restaurant, including our juicy, selectively–picked tomatoes. This commitment to quality and authenticity is why we say we’re “The Last Honest Pizza.” While we’re proud of the ingredients we use, Round Table is more than just freshness and quality. We’re the place where you’ll find unique, innovative pizza creations that expertly combine flavors no one else can match. Over the years we’ve introduced more than 30 successful new products, including many that are mainstays of our menu today. There’s the legendary King Arthur’s Supreme, with pepperoni, Italian sausage, Italian dry salami, linguica, mushrooms, green peppers, yellow onions, black olives, three cheeses and our Zesty Red Sauce. And the Wombo Combo, featuring primo pepperoni, linguica, Italian sausage, crisp bacon, mushrooms, Roma tomatoes, artichoke hearts and green onions. There are many more delightful combinations to choose from, or you can select your crust, sauce and toppings and create your own masterpiece. With appetizers like our Garlic Parmesan Twists, and salad bars offering an array of fresh selections, Round Table presents a feast of flavors that bring our guests back again and again, whether they choose to dine in, carry out or have us deliver. There are a lot of places that serve pizza. But there’s no one else with the freshness and flavors you’ll always find at the best place for pizza: your neighborhood Round Table — The Last Honest Pizza.","San Francisco Bay Area, West Coast, Western US",1837-01-01,year,media@roundtablepizza.com,(925) 969-3900,,https://www.facebook.com/roundtablepizza,https://www.twitter.com/roundtablepizza,"613,666",Private,,,,1001-5000,Food and Beverage,,
ADM Sneezeguards,https://www.crunchbase.com/organization/adm-sneezeguards,Manufacturing,"Antioch, California, United States",,Active,Non-profit,https://www.sneezeguard.com,"ADM Sneezeguards provide a wide variety of fully customizable sneezeguards. We are 100% American made and built, right here in California. All of our in stock products can be customized and ordered online.  ADM Sneezeguards is listed and certified as a custom sneezeguard manufacturer by N.S.F., all style numbers and names of units are strictly for reference purposes only.","San Francisco Bay Area, West Coast, Western US",1988-01-01,year,info@sneezeguard.com,800-690-0002,https://www.linkedin.com/company/adm-sneezeguards/,https://www.facebook.com/admsneezeguards,https://twitter.com/ASneezeguards,"19,905",Private,,,,11-50,Manufacturing,,
Molecule,https://www.crunchbase.com/organization/molecule,"3D Technology, Chemical","Concord, California, United States",,Active,For Profit,https://www.molecule.ink/,"Molecule is a uniquely creative, technology-driven enterprise focused on discovery and product innovation in the additive manufacturing space. They provide chemistries into the industrial inkjet market, Home Decor/Building Products Market, Textile and Apparel Market, The Label and Packaging, 3D Printing Market and other markets where sophisticated chemistries and nano fluids are necessary. They are committed to meeting the needs of their customers through their innovative, reliable products and to improving the communities in which they work and live. They are committed to achieving a positive economic impact while being responsible global citizens focusing on a holistic approach to environmental stewardship that considers the short- and long-term implications of their decisions and the prosperity of future generations.","San Francisco Bay Area, West Coast, Western US",2013-01-01,year,info@molecule.ink,+1 866 400 9066,https://www.linkedin.com/company/molecule/about/,https://www.facebook.com/MoleculeDigital/,https://twitter.com/MoleculeDigital,,Private,,,,11-50,"Hardware, Science and Engineering, Software",,
CLAYCORD,https://www.crunchbase.com/organization/claycord,"Internet, News","Concord, California, United States",,Active,For Profit,http://claycord.com/,"Claycord.com News & Talk” is the only locally owned & operated daily news website covering the cities of Concord, Clayton, Pleasant Hill, Walnut Creek & Martinez.","San Francisco Bay Area, West Coast, Western US",2007-05-01,day,news@claycord.com,(925) 646-2441,,https://www.facebook.com/CLAYCORD,https://twitter.com/claycord,"220,962",Private,,,,1-10,"Content and Publishing, Internet Services, Media and Entertainment",,
Commtimize,https://www.crunchbase.com/organization/commtimize,"Advertising, E-Commerce, Information Technology, Internet, Real Time, Retail","Walnut Creek, California, United States",Less than $1M,Closed,,http://www.commtimize.com,"Commtimize’s seamless multi-channel Conversion Optimization Solution helps retailers and e-businesses to increase sales, to improve conversion rates and to engage with their consumers in any channel and through multiple touch points.","San Francisco Bay Area, West Coast, Western US",2013-01-01,year,,415.215.5444,,,,,Private,250000,USD,250000,1-10,"Advertising, Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing",,
JamLoop,https://www.crunchbase.com/organization/jamloop,"Advertising Platforms, Digital Marketing, TV, Video Advertising","Walnut Creek, California, United States",,Active,For Profit,http://jamloop.com/,"JamLoop is a Streaming TV and Digital Video advertising platform that helps brands reach television, movie and live sports viewers across all screens with extreme, actionable real-time transparency.","San Francisco Bay Area, West Coast, Western US",2013-04-15,day,sales@jamloop.com,925-322-0461,https://www.linkedin.com/company/jamloop/,https://www.facebook.com/jamloopLLC/,https://twitter.com/jamloop,312,Private,,,,11-50,"Advertising, Media and Entertainment, Sales and Marketing, Video",,
YDesign Group,https://www.crunchbase.com/organization/ydesign-group,"Internet, Marketing","Walnut Creek, California, United States",,Active,For Profit,http://www.ydesigngroup.com/,YDesign Group is committed to bringing customers the best in modern and contemporary design. Our seasoned merchandising team searches worldwide for products and partners who share this commitment to great design and an incomparable customer experience.,"San Francisco Bay Area, West Coast, Western US",2001-01-01,year,sales@yliving.com,(310)309-3710,https://www.linkedin.com/company/ylighting-yliving,,,"1,641",Private,,,,251-500,"Internet Services, Sales and Marketing",,
YLiving,https://www.crunchbase.com/organization/yliving,"E-Commerce, Furniture, Home Decor","Walnut Creek, California, United States",$1M to $10M,Active,,http://www.yliving.com,"YLiving (www.YLiving.com) was founded in 2007 by the YLighting Team (www.YLighting.com). YLighting is the largest online retailer of high-end modern lighting in the United States and like YLighting, YLiving has built its foundation on quality customer service, a user-friendly website, and in-stock products. YLighting was established in 2001 to bring the best in modern lighting to consumers and trade professionals and is recognized as the leader in modern lighting. Zwello was launched in 2008 to supplement YLighting, and offer modern furniture and accessories categories. YLiving differentiates itself from competitors by employing seasoned modern store owners to become product experts for YLiving customers to get information they need to make a purchases. These product experts have more than 15 years experience in the industry. YLiving serves businesses, design professionals, and retail consumers via an experienced account sales team and an easy to use website. Most products carried are in stock and are ready to ship, whereas the industry standard for delivery is usually months.","San Francisco Bay Area, West Coast, Western US",2007-01-01,year,sales@yliving.com,(800) 236 9100,,http://www.facebook.com/yliving,http://twitter.com/yliving,"39,897",Private,,,,11-50,"Commerce and Shopping, Consumer Goods, Real Estate",,
